,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
417,Life of Pi,2012,7.9,79.0,566974,124.99,127
418,The Dirty Dozen,1967,7.7,73.0,65277,45.3,150
419,The Others,2001,7.6,74.0,328601,96.52,104
420,The Count of Monte Cristo,2002,7.8,61.0,126121,54.23,131
421,Togo,2019,8.0,69.0,28977,,113
422,The Color Purple,1985,7.8,78.0,75765,98.47,154
423,A Streetcar Named Desire,1951,8.0,97.0,96526,8.0,122
424,Roma,2018,7.7,96.0,132510,,135
425,In Bruges,2008,7.9,67.0,381393,7.76,107
426,Empire of the Sun,1987,7.7,62.0,112263,22.24,153
427,Cinema Paradiso,1988,8.5,80.0,220114,11.99,155
428,Sleepers,1996,7.6,49.0,182898,49.1,147
429,Gran Torino,2008,8.1,72.0,703055,148.1,116
430,When Harry Met Sally...,1989,7.6,76.0,189018,92.82,95
431,The Skin I Live In,2011,7.6,70.0,133775,3.19,120
432,Some Like It Hot,1959,8.2,98.0,236235,25.0,121
433,The Magnificent Seven,1960,7.7,74.0,85315,4.91,128
434,Donnie Brasco,1997,7.7,76.0,269095,41.91,127
435,Mad Max 2: The Road Warrior,1981,7.6,77.0,162374,12.47,96
436,Castle in the Sky,1986,8.0,78.0,143554,,125
437,The Great Escape,1963,8.2,86.0,217973,12.1,172
438,Midnight Cowboy,1969,7.8,79.0,97787,44.79,113
439,Lost Highway,1997,7.6,52.0,126597,3.8,134
440,Akira,1988,8.0,,157599,0.55,124
441,Only the Brave,2017,7.6,72.0,54027,18.34,134
442,Pride,2014,7.8,79.0,50048,,119
443,Frost/Nixon,2008,7.7,80.0,100743,18.59,122
444,Die Hard with a Vengeance,1995,7.6,58.0,355434,100.01,128
445,It's a Wonderful Life,1946,8.6,89.0,385338,,130
446,Creed,2015,7.6,82.0,240193,109.77,133
447,The Bourne Ultimatum,2007,8.0,85.0,595403,227.47,115
448,Breakfast at Tiffany's,1961,7.7,76.0,161824,,115
449,The Royal Tenenbaums,2001,7.6,76.0,259361,52.36,110
450,Moon,2009,7.9,67.0,327570,5.01,97
451,Cat on a Hot Tin Roof,1958,8.0,84.0,43483,17.57,108
